box_x,box_y,timestamp,density
18,18,2,5
18,18,3,5
18,18,8,2
18,18,11,1
18,18,30,1
18,18,32,1
18,18,36,1
18,18,39,1
18,18,40,1
18,18,42,1
18,18,48,5
18,18,49,1
18,18,51,1
18,18,53,2
18,18,54,2
18,18,56,2
18,18,58,1
18,18,61,4
18,18,62,6
18,18,63,3
18,18,64,6
18,18,65,1
18,18,66,2
18,18,67,4
18,18,68,5
18,18,69,9
18,18,70,2
18,18,71,4
18,18,72,2
18,18,73,5
18,18,74,4
18,18,75,2
18,18,76,3
18,18,77,4
18,18,78,4
18,18,79,2
18,18,80,5
18,18,81,6
18,18,82,3
18,18,83,8
18,18,84,9
18,18,85,1
18,18,86,7
18,18,87,2
18,18,89,6
18,18,90,1
18,18,91,3
18,18,92,2
18,18,93,4
18,18,94,2
18,18,95,1
18,18,96,1
18,18,97,4
18,18,98,13
18,18,99,5
18,18,100,2
18,18,101,4
18,18,102,3
18,18,103,9
18,18,104,1
18,18,105,7
18,18,106,4
18,18,107,5
18,18,108,5
18,18,109,2
18,18,110,8
18,18,111,2
18,18,112,4
18,18,113,10
18,18,114,2
18,18,116,3
18,18,117,3
18,18,118,4
18,18,119,3
18,18,120,1
18,18,121,2
18,18,122,3
18,18,123,6
18,18,124,1
18,18,125,2
18,18,126,2
18,18,127,4
18,18,128,2
18,18,129,3
18,18,131,1
18,18,133,1
18,18,135,1
18,18,136,2
18,18,137,1
18,18,138,4
18,18,139,1
18,18,140,2
18,18,141,2
18,18,142,1
18,18,143,2
18,18,144,2
18,19,1,1
18,19,9,3
18,19,44,2
18,19,48,1
18,19,52,1
18,19,53,1
18,19,55,2
18,19,57,2
18,19,65,1
18,19,66,1
18,19,67,2
18,19,68,5
18,19,69,1
18,19,73,1
18,19,74,1
18,19,75,2
18,19,76,1
18,19,79,1
18,19,80,2
18,19,83,1
18,19,84,2
18,19,85,4
18,19,88,3
18,19,90,1
18,19,94,1
18,19,95,2
18,19,96,2
18,19,97,2
18,19,98,1
18,19,101,3
18,19,103,1
18,19,104,2
18,19,105,1
18,19,107,3
18,19,108,2
18,19,111,1
18,19,112,2
18,19,113,1
18,19,114,6
18,19,115,2
18,19,117,1
18,19,118,1
18,19,119,3
18,19,120,4
18,19,121,4
18,19,122,4
18,19,123,1
18,19,124,1
18,19,125,2
18,19,128,6
18,19,131,1
18,19,132,3
18,19,133,1
18,19,135,1
18,19,142,1
18,19,143,1
18,20,23,1
18,20,37,1
18,20,39,1
18,20,49,1
18,20,52,1
18,20,55,2
18,20,56,1
18,20,60,1
18,20,61,4
18,20,62,1
18,20,63,2
18,20,64,1
18,20,65,5
18,20,66,3
18,20,67,3
18,20,68,2
18,20,71,1
18,20,72,1
18,20,73,1
18,20,74,6
18,20,75,3
18,20,76,9
18,20,77,2
18,20,78,2
18,20,79,5
18,20,80,3
18,20,81,1
18,20,82,3
18,20,83,4
18,20,84,1
18,20,85,6
18,20,86,3
18,20,87,2
18,20,88,4
18,20,89,5
18,20,90,4
18,20,91,7
18,20,92,1
18,20,94,1
18,20,95,3
18,20,96,10
18,20,97,3
18,20,98,2
18,20,99,2
18,20,100,4
18,20,101,4
18,20,103,4
18,20,104,3
18,20,105,1
18,20,106,6
18,20,107,1
18,20,109,1
18,20,110,1
18,20,111,7
18,20,112,5
18,20,113,5
18,20,114,4
18,20,115,2
18,20,116,8
18,20,117,1
18,20,118,5
18,20,119,3
18,20,120,2
18,20,122,2
18,20,123,7
18,20,124,2
18,20,125,1
18,20,126,1
18,20,128,1
18,20,129,3
18,20,132,1
